operator_type,batch_size,seq_len,hidden_dim1,hidden_dim2,latency_ms,memory_footprint_mb,flops,arithmetic_intensity
gemm,16,4,512,2048,0.010035199671983719,2.3125,134217728,55.351351351351354
gemm,16,4,1024,128,0.013926400244235993,0.390625,16777216,40.96
gemm,16,4,1024,256,0.012083200365304947,0.65625,33554432,48.76190476190476
gemm,16,4,1024,512,0.01085439994931221,1.1875,67108864,53.89473684210526
gemm,16,4,1024,1024,0.012083200365304947,2.25,134217728,56.888888888888886
gemm,16,4,1024,2048,0.011878400295972823,4.375,268435456,58.51428571428571
gemm,16,4,2048,128,0.012697599828243256,0.765625,33554432,41.795918367346935
gemm,16,4,2048,256,0.013107199966907502,1.28125,67108864,49.951219512195124
gemm,16,4,2048,512,0.013516800105571746,2.3125,134217728,55.351351351351354
gemm,16,4,2048,1024,0.012902399897575379,4.375,268435456,58.51428571428571
gemm,16,4,2048,2048,0.015769599378108977,8.5,536870912,60.23529411764706
gemm,16,8,128,128,0.012083200365304947,0.09375,4194304,42.666666666666664
gemm,16,8,128,256,0.012083200365304947,0.15625,8388608,51.2
gemm,16,8,128,512,0.011878400295972823,0.28125,16777216,56.888888888888886
gemm,16,8,128,1024,0.01085439994931221,0.53125,33554432,60.23529411764706
gemm,16,8,128,2048,0.01085439994931221,1.03125,67108864,62.06060606060606
gemm,16,8,256,128,0.011673600226640702,0.15625,8388608,51.2
gemm,16,8,256,256,0.01085439994931221,0.25,16777216,64.0
gemm,16,8,256,512,0.01085439994931221,0.4375,33554432,73.14285714285714
gemm,16,8,256,1024,0.011264000087976456,0.8125,67108864,78.76923076923077
gemm,16,8,256,2048,0.03051519989967346,1.5625,134217728,81.92
gemm,16,8,512,128,0.010444799810647965,0.28125,16777216,56.888888888888886
gemm,16,8,512,256,0.01085439994931221,0.4375,33554432,73.14285714285714
gemm,16,8,512,512,0.012083200365304947,0.75,67108864,85.33333333333333
gemm,16,8,512,1024,0.010035199671983719,1.375,134217728,93.0909090909091
gemm,16,8,512,2048,0.011264000087976456,2.625,268435456,97.52380952380952
gemm,16,8,1024,128,0.013107199966907502,0.53125,33554432,60.23529411764706
gemm,16,8,1024,256,0.01228799968957901,0.8125,67108864,78.76923076923077
gemm,16,8,1024,512,0.011264000087976456,1.375,134217728,93.0909090909091
